date,tempC
1/1/2014,20
1/2/2014,21
1/3/2014,23
1/4/2014,24
1/5/2014,24
1/6/2014,24
1/7/2014,23
1/8/2014,21
1/9/2014,21
1/10/2014,22
1/11/2016,22
1/12/2014,23
1/13/2014,23
1/14/2014,24
1/15/2014,25
1/16/2014,25
1/17/2014,24
1/18/2014,25
1/19/2014,25
1/20/2014,23
1/21/2014,25
1/22/2014,25
1/23/2014,26
1/24/2014,25
1/25/2014,25
1/26/2014,27
1/27/2014,28
1/28/2014,28
1/29/2014,30
1/30/2014,29
1/31/2014,29
2/1/2014,29
2/2/2014,28
2/3/2014,29
2/4/2014,30
2/5/2014,30
2/6/2014,30
2/7/2014,27
2/8/2014,25
2/9/2014,25
2/10/2014,27
2/11/2014,25
2/12/2014,25
2/13/2014,26
2/14/2014,26
2/15/2014,26
2/16/2014,27
2/17/2014,27
2/18/2014,29
2/19/2014,30
2/20/2014,30
2/21/2014,29
2/22/2014,28
2/23/2014,28
2/24/2014,29
2/25/2014,29
2/26/2014,30
2/27/2014,30
2/28/2014,28
3/1/2014,29
3/2/2014,30
3/3/2014,29
3/4/2014,29
3/5/2014,29
3/6/2014,31
3/7/2014,33
3/8/2014,34
3/9/2014,34
3/10/2014,36
3/11/2014,30
3/12/2014,31
3/13/2014,31
3/14/2014,34
3/15/2014,37
3/16/2014,37
3/17/2014,34
3/18/2014,34
3/19/2014,36
3/20/2014,37
3/21/2014,37
3/22/2014,36
3/23/2014,38
3/24/2014,38
3/25/2014,39
3/26/2014,39
3/27/2014,35
3/28/2014,34
3/29/2014,35
3/30/2014,35
3/31/2014,37
4/1/2014,38
4/2/2014,37
4/3/2014,40
4/4/2014,39
4/5/2014,41
4/6/2014,40
4/7/2014,37
4/8/2014,38
4/9/2014,38
4/10/2014,40
4/11/2014,40
4/12/2014,42
4/13/2014,39
4/14/2014,40
4/15/2014,41
4/16/2014,42
4/17/2014,42
4/18/2014,38
4/19/2014,39
4/20/2014,38
4/21/2014,39
4/22/2014,37
4/23/2014,40
4/24/2014,41
4/25/2014,41
4/26/2014,42
4/27/2014,43
4/28/2014,44
4/29/2014,45
4/30/2014,43
5/1/2014,44
5/2/2014,44
5/3/2014,42
5/4/2014,41
5/5/2014,42
5/6/2014,43
5/7/2014,43
5/8/2014,42
5/9/2014,41
5/10/2014,41
5/11/2014,42
5/12/2014,38
5/13/2014,40
5/14/2014,39
5/15/2014,37
5/16/2014,41
5/17/2014,40
5/18/2014,40
5/19/2014,40
